  
       XFOIL         Version 6.99
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5363   0.01348   0.00899  -0.1203   0.9243   0.0128
  -9.750  -0.5138   0.01291   0.00834  -0.1199   0.9110   0.0128
  -9.500  -0.4854   0.01283   0.00824  -0.1203   0.8967   0.0132
  -9.250  -0.4640   0.01234   0.00763  -0.1195   0.8783   0.0134
  -9.000  -0.4393   0.01205   0.00727  -0.1193   0.8638   0.0137
  -8.750  -0.4158   0.01167   0.00681  -0.1189   0.8507   0.0136
  -8.500  -0.3889   0.01154   0.00663  -0.1189   0.8402   0.0140
  -8.250  -0.3624   0.01135   0.00637  -0.1189   0.8305   0.0144
  -8.000  -0.3371   0.01100   0.00596  -0.1188   0.8212   0.0144
  -7.750  -0.3098   0.01084   0.00576  -0.1189   0.8131   0.0145
  -7.500  -0.2859   0.01019   0.00505  -0.1188   0.8056   0.0152
  -7.000  -0.2316   0.00973   0.00454  -0.1190   0.7922   0.0157
  -6.750  -0.2048   0.00952   0.00428  -0.1190   0.7861   0.0161
  -6.500  -0.1770   0.00932   0.00406  -0.1191   0.7804   0.0165
  -6.000  -0.1209   0.00898   0.00366  -0.1195   0.7698   0.0170
  -5.750  -0.0934   0.00866   0.00331  -0.1197   0.7648   0.0179
  -5.500  -0.0651   0.00849   0.00312  -0.1199   0.7597   0.0181
  -5.250  -0.0369   0.00834   0.00295  -0.1201   0.7535   0.0189
  -5.000  -0.0085   0.00820   0.00279  -0.1204   0.7473   0.0193
  -4.750   0.0200   0.00806   0.00261  -0.1206   0.7416   0.0200
  -4.500   0.0487   0.00791   0.00245  -0.1209   0.7359   0.0209
  -4.250   0.0771   0.00780   0.00231  -0.1211   0.7293   0.0220
  -4.000   0.1062   0.00765   0.00217  -0.1214   0.7250   0.0241
  -3.750   0.1351   0.00747   0.00201  -0.1218   0.7196   0.0335
  -3.500   0.1638   0.00720   0.00186  -0.1222   0.7145   0.0687
  -3.250   0.1933   0.00689   0.00172  -0.1228   0.7105   0.1156
  -3.000   0.2225   0.00659   0.00159  -0.1234   0.7053   0.1743
  -2.750   0.2523   0.00612   0.00143  -0.1243   0.7008   0.2698
  -2.500   0.2828   0.00553   0.00124  -0.1255   0.6961   0.4044
  -2.250   0.3127   0.00526   0.00119  -0.1262   0.6917   0.4878
  -2.000   0.3424   0.00521   0.00118  -0.1267   0.6865   0.5121
  -1.750   0.3717   0.00522   0.00118  -0.1270   0.6812   0.5241
  -1.500   0.4015   0.00521   0.00118  -0.1274   0.6765   0.5349
  -1.250   0.4305   0.00523   0.00119  -0.1276   0.6699   0.5469
