  
       XFOIL         Version 6.99
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5713   0.00943   0.00508  -0.1174   0.8057   0.0102
  -9.750  -0.5445   0.00920   0.00481  -0.1174   0.7969   0.0103
  -9.500  -0.5160   0.00909   0.00470  -0.1177   0.7898   0.0103
  -9.250  -0.4900   0.00876   0.00432  -0.1177   0.7831   0.0107
  -9.000  -0.4622   0.00862   0.00416  -0.1178   0.7764   0.0111
  -8.750  -0.4345   0.00840   0.00392  -0.1180   0.7705   0.0111
  -8.500  -0.4064   0.00829   0.00379  -0.1182   0.7640   0.0113
  -8.250  -0.3779   0.00813   0.00364  -0.1185   0.7593   0.0116
  -8.000  -0.3496   0.00796   0.00344  -0.1187   0.7538   0.0116
  -7.750  -0.3210   0.00783   0.00331  -0.1190   0.7491   0.0117
  -7.500  -0.2927   0.00774   0.00320  -0.1192   0.7417   0.0121
  -7.250  -0.2639   0.00759   0.00303  -0.1195   0.7379   0.0121
  -7.000  -0.2349   0.00746   0.00290  -0.1198   0.7332   0.0122
  -6.750  -0.2063   0.00738   0.00280  -0.1200   0.7267   0.0123
  -6.500  -0.1778   0.00718   0.00257  -0.1203   0.7193   0.0130
  -6.250  -0.1487   0.00708   0.00246  -0.1207   0.7132   0.0133
  -6.000  -0.1198   0.00697   0.00234  -0.1210   0.7068   0.0135
  -5.750  -0.0906   0.00687   0.00222  -0.1213   0.7008   0.0139
  -5.500  -0.0616   0.00677   0.00211  -0.1216   0.6952   0.0139
  -5.250  -0.0323   0.00669   0.00203  -0.1220   0.6906   0.0144
  -5.000  -0.0029   0.00660   0.00193  -0.1223   0.6860   0.0145
  -4.750   0.0261   0.00651   0.00182  -0.1227   0.6800   0.0152
  -4.500   0.0557   0.00641   0.00172  -0.1231   0.6769   0.0156
  -4.250   0.0850   0.00634   0.00165  -0.1234   0.6720   0.0161
  -4.000   0.1144   0.00626   0.00157  -0.1238   0.6675   0.0167
  -3.750   0.1440   0.00618   0.00149  -0.1242   0.6644   0.0178
  -3.500   0.1733   0.00613   0.00143  -0.1245   0.6583   0.0186
  -3.250   0.2028   0.00605   0.00136  -0.1249   0.6527   0.0214
  -3.000   0.2323   0.00586   0.00125  -0.1254   0.6473   0.0487
  -2.500   0.2915   0.00555   0.00110  -0.1264   0.6352   0.1105
  -2.250   0.3210   0.00543   0.00105  -0.1269   0.6260   0.1427
  -2.000   0.3507   0.00524   0.00099  -0.1275   0.6181   0.1957
  -1.750   0.3801   0.00507   0.00094  -0.1280   0.6052   0.2564
  -1.500   0.4094   0.00489   0.00089  -0.1286   0.5884   0.3304
  -1.250   0.4384   0.00471   0.00085  -0.1292   0.5678   0.4107
  -1.000   0.4664   0.00465   0.00087  -0.1295   0.5373   0.4835
  -0.750   0.4939   0.00483   0.00094  -0.1295   0.5085   0.4885
  -0.500   0.5217   0.00492   0.00099  -0.1296   0.4852   0.5110
  -0.250   0.5497   0.00505   0.00105  -0.1297   0.4643   0.5153
   0.000   0.5775   0.00518   0.00112  -0.1298   0.4403   0.5299
   0.250   0.6050   0.00534   0.00120  -0.1298   0.4164   0.5400
   0.500   0.6330   0.00546   0.00126  -0.1298   0.3996   0.5470
   0.750   0.6605   0.00561   0.00134  -0.1299   0.3783   0.5541
   1.000   0.6883   0.00575   0.00142  -0.1299   0.3617   0.5589
   1.250   0.7160   0.00589   0.00149  -0.1300   0.3451   0.5632
   1.500   0.7442   0.00601   0.00157  -0.1301   0.3316   0.5663
   1.750   0.7716   0.00615   0.00164  -0.1301   0.3173   0.5685
   2.000   0.7996   0.00628   0.00172  -0.1302   0.3055   0.5703
   2.250   0.8275   0.00641   0.00180  -0.1303   0.2940   0.5731
   2.500   0.8554   0.00653   0.00188  -0.1304   0.2840   0.5760
   2.750   0.8830   0.00666   0.00197  -0.1304   0.2726   0.5787
   3.000   0.9102   0.00680   0.00206  -0.1304   0.2625   0.5810
   3.250   0.9379   0.00694   0.00216  -0.1304   0.2533   0.5829
   3.500   0.9649   0.00708   0.00226  -0.1304   0.2425   0.5864
   3.750   0.9925   0.00720   0.00236  -0.1304   0.2357   0.5896
   4.000   1.0199   0.00733   0.00245  -0.1304   0.2286   0.5925
   4.250   1.0465   0.00748   0.00257  -0.1303   0.2198   0.5946
   4.500   1.0736   0.00763   0.00268  -0.1303   0.2117   0.5983
   4.750   1.1006   0.00776   0.00279  -0.1303   0.2052   0.6018
   5.000   1.1273   0.00792   0.00292  -0.1302   0.1982   0.6049
   5.500   1.1806   0.00821   0.00317  -0.1300   0.1855   0.6119
   5.750   1.2070   0.00837   0.00331  -0.1298   0.1795   0.6155
   6.000   1.2335   0.00851   0.00343  -0.1297   0.1751   0.6185
   6.250   1.2591   0.00870   0.00359  -0.1294   0.1676   0.6230
   6.500   1.2851   0.00886   0.00374  -0.1293   0.1623   0.6273
   6.750   1.3100   0.00905   0.00390  -0.1288   0.1564   0.6308
   7.000   1.3355   0.00921   0.00405  -0.1286   0.1518   0.6353
   7.250   1.3601   0.00942   0.00423  -0.1281   0.1452   0.6399
   7.750   1.4093   0.00980   0.00458  -0.1273   0.1359   0.6487
   8.000   1.4349   0.00993   0.00473  -0.1270   0.1352   0.6540
   8.250   1.4575   0.01018   0.00495  -0.1262   0.1289   0.6582
   8.500   1.4802   0.01035   0.00513  -0.1254   0.1252   0.6643
   9.250   1.5418   0.01117   0.00588  -0.1219   0.1069   0.6800
   9.500   1.5607   0.01153   0.00621  -0.1205   0.0993   0.6865
   9.750   1.5831   0.01174   0.00643  -0.1197   0.0981   0.6924
  10.000   1.6003   0.01216   0.00681  -0.1180   0.0894   0.6995
  10.250   1.6211   0.01245   0.00711  -0.1170   0.0868   0.7057
  10.500   1.6396   0.01281   0.00746  -0.1156   0.0823   0.7130
  10.750   1.6560   0.01329   0.00791  -0.1139   0.0748   0.7198
  11.000   1.6764   0.01359   0.00823  -0.1129   0.0735   0.7273
  11.250   1.6923   0.01412   0.00872  -0.1112   0.0669   0.7352
  11.500   1.7086   0.01460   0.00920  -0.1096   0.0628   0.7432
  11.750   1.7198   0.01536   0.00991  -0.1073   0.0526   0.7523
  12.000   1.7412   0.01562   0.01022  -0.1065   0.0545   0.7615
  12.250   1.7478   0.01664   0.01117  -0.1036   0.0425   0.7715
  12.500   1.7629   0.01729   0.01183  -0.1020   0.0391   0.7818
