  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.1026   0.01049   0.00608  -0.0013   1.0000   0.0067
  -9.750  -1.0767   0.01022   0.00580  -0.0010   1.0000   0.0069
  -9.500  -1.0507   0.00996   0.00553  -0.0007   1.0000   0.0070
  -9.250  -1.0247   0.00973   0.00529  -0.0005   1.0000   0.0072
  -9.000  -0.9986   0.00950   0.00506  -0.0002   1.0000   0.0072
  -8.750  -0.9730   0.00923   0.00476   0.0002   1.0000   0.0075
  -8.500  -0.9477   0.00892   0.00445   0.0006   1.0000   0.0083
  -8.250  -0.9224   0.00868   0.00421   0.0011   1.0000   0.0089
  -8.000  -0.8973   0.00846   0.00400   0.0016   1.0000   0.0093
  -7.750  -0.8723   0.00827   0.00381   0.0022   1.0000   0.0097
  -7.500  -0.8475   0.00811   0.00364   0.0028   1.0000   0.0099
  -7.250  -0.8207   0.00788   0.00341   0.0030   0.9998   0.0108
  -7.000  -0.7897   0.00764   0.00319   0.0022   0.9990   0.0120
  -6.750  -0.7584   0.00745   0.00301   0.0013   0.9981   0.0128
  -6.500  -0.7268   0.00729   0.00286   0.0004   0.9970   0.0131
  -6.250  -0.6952   0.00707   0.00265  -0.0004   0.9959   0.0152
  -6.000  -0.6632   0.00688   0.00249  -0.0014   0.9946   0.0167
  -5.750  -0.6336   0.00673   0.00234  -0.0018   0.9914   0.0179
  -5.500  -0.6038   0.00654   0.00219  -0.0023   0.9868   0.0210
  -5.250  -0.5743   0.00640   0.00206  -0.0026   0.9815   0.0226
  -5.000  -0.5474   0.00624   0.00192  -0.0024   0.9725   0.0267
  -4.750  -0.5205   0.00612   0.00180  -0.0021   0.9623   0.0294
  -4.500  -0.4942   0.00598   0.00167  -0.0016   0.9496   0.0353
  -4.250  -0.4676   0.00586   0.00155  -0.0013   0.9353   0.0418
  -4.000  -0.4407   0.00576   0.00144  -0.0010   0.9186   0.0480
  -3.750  -0.4138   0.00566   0.00133  -0.0008   0.8991   0.0578
  -3.500  -0.3866   0.00556   0.00122  -0.0006   0.8782   0.0698
  -3.250  -0.3593   0.00547   0.00112  -0.0004   0.8540   0.0845
  -3.000  -0.3320   0.00535   0.00102  -0.0003   0.8299   0.1057
  -2.750  -0.3045   0.00526   0.00093  -0.0002   0.8033   0.1264
  -2.500  -0.2770   0.00517   0.00085  -0.0001   0.7757   0.1508
  -2.250  -0.2495   0.00508   0.00078  -0.0000   0.7465   0.1783
  -2.000  -0.2219   0.00500   0.00071   0.0000   0.7167   0.2080
  -1.750  -0.1942   0.00492   0.00065   0.0000   0.6874   0.2385
  -1.500  -0.1666   0.00485   0.00060   0.0000   0.6567   0.2718
  -1.250  -0.1389   0.00478   0.00056   0.0001   0.6258   0.3056
  -1.000  -0.1112   0.00474   0.00052   0.0000   0.5948   0.3373
  -0.750  -0.0834   0.00470   0.00050   0.0000   0.5641   0.3701
  -0.500  -0.0556   0.00467   0.00048   0.0000   0.5327   0.4039
