  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA-0009 9.0% smoothed                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0604   0.01599   0.01057  -0.0078   1.0000   0.0076
  -9.750  -1.0410   0.01532   0.00986  -0.0064   1.0000   0.0087
  -9.500  -1.0205   0.01482   0.00929  -0.0052   1.0000   0.0090
  -9.250  -0.9999   0.01427   0.00870  -0.0040   1.0000   0.0102
  -9.000  -0.9797   0.01368   0.00806  -0.0026   1.0000   0.0119
  -8.750  -0.9579   0.01331   0.00766  -0.0016   1.0000   0.0138
  -8.500  -0.9371   0.01276   0.00707  -0.0003   1.0000   0.0151
  -8.250  -0.9154   0.01242   0.00674   0.0008   1.0000   0.0175
  -8.000  -0.8942   0.01199   0.00628   0.0021   1.0000   0.0202
  -7.750  -0.8714   0.01177   0.00606   0.0030   1.0000   0.0230
  -7.500  -0.8486   0.01145   0.00572   0.0039   1.0000   0.0248
  -7.250  -0.8262   0.01122   0.00548   0.0050   1.0000   0.0276
  -7.000  -0.8027   0.01101   0.00525   0.0059   1.0000   0.0299
  -6.750  -0.7809   0.01077   0.00502   0.0070   1.0000   0.0326
  -6.500  -0.7575   0.01058   0.00479   0.0079   1.0000   0.0348
  -6.250  -0.7354   0.01020   0.00441   0.0090   1.0000   0.0367
  -6.000  -0.7120   0.01006   0.00425   0.0099   1.0000   0.0398
  -5.750  -0.6899   0.00978   0.00397   0.0110   1.0000   0.0420
  -5.500  -0.6668   0.00958   0.00377   0.0120   1.0000   0.0462
  -5.250  -0.6437   0.00936   0.00356   0.0129   1.0000   0.0490
  -5.000  -0.6207   0.00914   0.00332   0.0139   1.0000   0.0515
  -4.750  -0.5874   0.00892   0.00311   0.0126   0.9987   0.0567
  -4.500  -0.5518   0.00869   0.00287   0.0108   0.9970   0.0599
  -4.250  -0.5159   0.00849   0.00267   0.0090   0.9950   0.0641
  -4.000  -0.4810   0.00818   0.00250   0.0074   0.9930   0.0865
  -3.750  -0.4466   0.00793   0.00233   0.0058   0.9908   0.1038
  -3.250  -0.3774   0.00719   0.00197   0.0025   0.9857   0.1870
  -2.750  -0.3124   0.00632   0.00165   0.0000   0.9790   0.3207
  -2.500  -0.2792   0.00605   0.00153  -0.0012   0.9753   0.3627
  -1.750  -0.1852   0.00523   0.00121  -0.0035   0.9571   0.5035
  -1.500  -0.1485   0.00551   0.00113  -0.0050   0.9456   0.4230
  -1.000  -0.0974   0.00457   0.00096  -0.0040   0.9094   0.6457
  -0.750  -0.0648   0.00481   0.00090  -0.0048   0.8907   0.5876
  -0.500  -0.0473   0.00432   0.00089  -0.0024   0.8646   0.7337
  -0.250  -0.0232   0.00426   0.00087  -0.0013   0.8375   0.7698
   0.500   0.0465   0.00434   0.00089   0.0026   0.7263   0.8665
   0.750   0.0720   0.00440   0.00093   0.0033   0.6955   0.8915
   1.000   0.0927   0.00487   0.00097   0.0050   0.5673   0.9132
   1.250   0.1194   0.00504   0.00099   0.0052   0.5261   0.9175
   1.500   0.1541   0.00503   0.00113   0.0041   0.5400   0.9462
   2.250   0.2464   0.00576   0.00141   0.0023   0.4102   0.9707
   2.500   0.2787   0.00601   0.00152   0.0013   0.3682   0.9748
   2.750   0.3110   0.00636   0.00165   0.0002   0.3125   0.9785
   3.250   0.3788   0.00703   0.00194  -0.0026   0.2167   0.9856
   3.500   0.4137   0.00750   0.00214  -0.0044   0.1520   0.9885
   4.000   0.4811   0.00820   0.00253  -0.0073   0.0857   0.9931
   4.250   0.5169   0.00843   0.00270  -0.0091   0.0748   0.9952
   4.500   0.5503   0.00868   0.00292  -0.0105   0.0655   0.9968
   4.750   0.5870   0.00891   0.00311  -0.0125   0.0578   0.9986
   5.000   0.6210   0.00912   0.00331  -0.0139   0.0525   1.0000
   5.250   0.6440   0.00934   0.00354  -0.0130   0.0485   1.0000
   5.500   0.6673   0.00955   0.00371  -0.0121   0.0439   1.0000
   5.750   0.6898   0.00976   0.00396  -0.0110   0.0423   1.0000
   6.000   0.7129   0.01007   0.00426  -0.0101   0.0396   1.0000
   6.250   0.7352   0.01022   0.00443  -0.0090   0.0364   1.0000
   6.500   0.7578   0.01056   0.00478  -0.0080   0.0348   1.0000
   6.750   0.7809   0.01072   0.00496  -0.0070   0.0322   1.0000
   7.000   0.8033   0.01099   0.00523  -0.0060   0.0298   1.0000
   7.250   0.8266   0.01118   0.00543  -0.0051   0.0274   1.0000
   7.500   0.8478   0.01156   0.00584  -0.0038   0.0256   1.0000
   7.750   0.8709   0.01182   0.00611  -0.0029   0.0229   1.0000
   8.000   0.8931   0.01212   0.00644  -0.0018   0.0207   1.0000
   8.250   0.9155   0.01241   0.00674  -0.0008   0.0174   1.0000
   8.500   0.9372   0.01284   0.00718   0.0003   0.0151   1.0000
   8.750   0.9579   0.01330   0.00765   0.0015   0.0130   1.0000
   9.000   0.9784   0.01387   0.00825   0.0028   0.0113   1.0000
   9.250   1.0004   0.01424   0.00865   0.0038   0.0100   1.0000
   9.500   1.0202   0.01483   0.00929   0.0052   0.0087   1.0000
   9.750   1.0391   0.01558   0.01013   0.0067   0.0084   1.0000
  10.000   1.0618   0.01582   0.01037   0.0075   0.0077   1.0000
  10.250   1.0787   0.01681   0.01145   0.0093   0.0065   1.0000
  10.500   1.0981   0.01744   0.01217   0.0105   0.0065   1.0000
  10.750   1.1166   0.01821   0.01302   0.0119   0.0055   1.0000
  11.000   1.1364   0.01887   0.01376   0.0130   0.0048   1.0000
  11.250   1.1525   0.01983   0.01482   0.0147   0.0056   1.0000
  11.500   1.1700   0.02073   0.01584   0.0160   0.0049   1.0000
  11.750   1.1867   0.02172   0.01690   0.0174   0.0045   1.0000
  12.000   1.2030   0.02261   0.01790   0.0188   0.0046   1.0000
  12.250   1.2159   0.02379   0.01921   0.0205   0.0047   1.0000
  12.500   1.2270   0.02509   0.02063   0.0223   0.0046   1.0000
  12.750   1.2371   0.02634   0.02203   0.0243   0.0048   1.0000
  13.000   1.2283   0.02874   0.02461   0.0283   0.0041   1.0000
  13.250   1.2395   0.02956   0.02547   0.0299   0.0045   1.0000
  13.500   1.2458   0.03083   0.02682   0.0316   0.0043   1.0000
  13.750   1.2269   0.03407   0.03032   0.0345   0.0047   1.0000
  14.000   1.2178   0.03730   0.03375   0.0349   0.0038   1.0000
  14.250   1.2294   0.03851   0.03499   0.0347   0.0042   1.0000
  14.500   1.2017   0.04506   0.04181   0.0319   0.0040   1.0000
  14.750   1.1811   0.05271   0.04964   0.0261   0.0037   1.0000
  15.000   1.2479   0.04559   0.04236   0.0316   0.0030   1.0000
