  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.1052   0.01006   0.00573  -0.0009   1.0000   0.0063
  -9.750  -1.0793   0.00978   0.00546  -0.0006   1.0000   0.0066
  -9.500  -1.0533   0.00953   0.00520  -0.0003   1.0000   0.0068
  -9.250  -1.0272   0.00930   0.00496  -0.0001   1.0000   0.0070
  -9.000  -1.0011   0.00908   0.00474   0.0002   1.0000   0.0071
  -8.750  -0.9751   0.00888   0.00453   0.0005   1.0000   0.0072
  -8.500  -0.9495   0.00864   0.00429   0.0009   1.0000   0.0075
  -8.250  -0.9245   0.00837   0.00402   0.0014   1.0000   0.0084
  -8.000  -0.8996   0.00815   0.00380   0.0020   1.0000   0.0089
  -7.750  -0.8748   0.00795   0.00361   0.0026   1.0000   0.0094
  -7.250  -0.8152   0.00760   0.00327   0.0016   0.9989   0.0099
  -7.000  -0.7844   0.00736   0.00303   0.0009   0.9979   0.0115
  -6.750  -0.7532   0.00716   0.00285   0.0001   0.9968   0.0124
  -6.500  -0.7217   0.00700   0.00270  -0.0008   0.9955   0.0130
  -6.250  -0.6902   0.00682   0.00253  -0.0016   0.9938   0.0142
  -6.000  -0.6617   0.00663   0.00237  -0.0018   0.9894   0.0161
  -5.750  -0.6318   0.00650   0.00224  -0.0023   0.9844   0.0170
  -5.500  -0.6044   0.00633   0.00210  -0.0021   0.9771   0.0199
  -5.250  -0.5777   0.00620   0.00197  -0.0018   0.9676   0.0218
  -5.000  -0.5514   0.00609   0.00184  -0.0014   0.9555   0.0247
  -4.500  -0.4979   0.00586   0.00160  -0.0008   0.9260   0.0325
  -4.250  -0.4707   0.00577   0.00149  -0.0006   0.9085   0.0370
  -4.000  -0.4434   0.00566   0.00137  -0.0004   0.8891   0.0445
  -3.750  -0.4161   0.00558   0.00127  -0.0002   0.8660   0.0535
  -3.500  -0.3886   0.00549   0.00117  -0.0001   0.8423   0.0647
  -3.250  -0.3610   0.00542   0.00108  -0.0000   0.8168   0.0771
  -3.000  -0.3334   0.00534   0.00099   0.0000   0.7902   0.0933
  -2.750  -0.3057   0.00527   0.00091   0.0001   0.7620   0.1118
  -2.500  -0.2781   0.00518   0.00083   0.0001   0.7337   0.1348
  -2.250  -0.2504   0.00510   0.00076   0.0001   0.7048   0.1592
  -2.000  -0.2227   0.00502   0.00069   0.0002   0.6751   0.1878
  -1.750  -0.1948   0.00496   0.00064   0.0001   0.6458   0.2139
  -1.500  -0.1671   0.00489   0.00059   0.0001   0.6162   0.2451
  -1.250  -0.1393   0.00483   0.00055   0.0001   0.5876   0.2771
  -1.000  -0.1115   0.00479   0.00052   0.0001   0.5557   0.3087
  -0.750  -0.0836   0.00475   0.00049   0.0001   0.5269   0.3393
  -0.500  -0.0557   0.00473   0.00048   0.0001   0.4947   0.3712
  -0.250  -0.0278   0.00471   0.00047   0.0000   0.4654   0.4026
   0.000   0.0001   0.00471   0.00046  -0.0000   0.4335   0.4330
   0.250   0.0279   0.00471   0.00047  -0.0000   0.4022   0.4653
   0.500   0.0558   0.00473   0.00048  -0.0001   0.3704   0.4964
   0.750   0.0837   0.00475   0.00049  -0.0001   0.3390   0.5264
   1.000   0.1116   0.00478   0.00052  -0.0001   0.3094   0.5567
   1.250   0.1394   0.00483   0.00055  -0.0002   0.2772   0.5864
   1.500   0.1672   0.00490   0.00059  -0.0002   0.2436   0.6158
   1.750   0.1950   0.00494   0.00064  -0.0002   0.2179   0.6470
   2.000   0.2228   0.00502   0.00069  -0.0002   0.1878   0.6744
   2.250   0.2505   0.00510   0.00076  -0.0002   0.1591   0.7046
   2.500   0.2782   0.00518   0.00083  -0.0001   0.1343   0.7343
   2.750   0.3058   0.00527   0.00091  -0.0001   0.1115   0.7619
   3.000   0.3336   0.00534   0.00099  -0.0001   0.0935   0.7895
   3.250   0.3612   0.00542   0.00108   0.0000   0.0773   0.8163
   3.500   0.3887   0.00549   0.00117   0.0001   0.0647   0.8419
   3.750   0.4162   0.00559   0.00127   0.0002   0.0529   0.8662
   4.000   0.4436   0.00566   0.00137   0.0004   0.0445   0.8887
   4.250   0.4708   0.00577   0.00149   0.0005   0.0370   0.9086
   4.500   0.4981   0.00586   0.00160   0.0007   0.0330   0.9260
   4.750   0.5249   0.00597   0.00172   0.0010   0.0278   0.9416
   5.000   0.5516   0.00609   0.00184   0.0014   0.0247   0.9551
   5.250   0.5779   0.00620   0.00197   0.0018   0.0217   0.9676
   5.500   0.6045   0.00634   0.00210   0.0021   0.0198   0.9772
   5.750   0.6320   0.00649   0.00224   0.0022   0.0170   0.9844
   6.000   0.6618   0.00664   0.00237   0.0018   0.0161   0.9894
   6.250   0.6903   0.00682   0.00253   0.0016   0.0143   0.9939
   6.500   0.7218   0.00700   0.00270   0.0008   0.0130   0.9956
   6.750   0.7534   0.00716   0.00285  -0.0001   0.0124   0.9968
   7.000   0.7846   0.00736   0.00303  -0.0009   0.0114   0.9979
   7.250   0.8154   0.00760   0.00327  -0.0017   0.0099   0.9989
   7.500   0.8463   0.00777   0.00343  -0.0024   0.0097   0.9997
   7.750   0.8747   0.00795   0.00361  -0.0026   0.0094   1.0000
   8.000   0.8996   0.00815   0.00380  -0.0020   0.0089   1.0000
   8.250   0.9245   0.00837   0.00402  -0.0014   0.0084   1.0000
   8.500   0.9495   0.00865   0.00429  -0.0009   0.0075   1.0000
   8.750   0.9751   0.00888   0.00453  -0.0005   0.0072   1.0000
   9.000   1.0011   0.00908   0.00474  -0.0002   0.0071   1.0000
   9.250   1.0272   0.00930   0.00496   0.0001   0.0070   1.0000
   9.500   1.0534   0.00953   0.00520   0.0003   0.0068   1.0000
   9.750   1.0794   0.00978   0.00546   0.0006   0.0066   1.0000
  10.000   1.1053   0.01006   0.00573   0.0008   0.0064   1.0000
  10.250   1.1310   0.01036   0.00604   0.0011   0.0060   1.0000
  10.500   1.1564   0.01070   0.00639   0.0014   0.0056   1.0000
  10.750   1.1812   0.01115   0.00688   0.0018   0.0051   1.0000
  11.000   1.2069   0.01142   0.00716   0.0021   0.0051   1.0000
  11.250   1.2325   0.01170   0.00745   0.0023   0.0050   1.0000
  11.500   1.2579   0.01201   0.00777   0.0026   0.0050   1.0000
  11.750   1.2830   0.01233   0.00811   0.0029   0.0049   1.0000
  12.000   1.3080   0.01268   0.00848   0.0032   0.0049   1.0000
  12.250   1.3327   0.01303   0.00885   0.0036   0.0048   1.0000
  12.500   1.3572   0.01341   0.00925   0.0039   0.0047   1.0000
  12.750   1.3814   0.01380   0.00966   0.0043   0.0046   1.0000
  13.000   1.4052   0.01422   0.01010   0.0048   0.0045   1.0000
  13.250   1.4288   0.01466   0.01056   0.0052   0.0044   1.0000
  13.500   1.4519   0.01513   0.01105   0.0057   0.0042   1.0000
  13.750   1.4746   0.01562   0.01158   0.0063   0.0041   1.0000
  14.000   1.4968   0.01617   0.01216   0.0069   0.0040   1.0000
  14.250   1.5181   0.01678   0.01281   0.0076   0.0038   1.0000
  14.500   1.5384   0.01748   0.01357   0.0084   0.0036   1.0000
  14.750   1.5567   0.01836   0.01454   0.0094   0.0034   1.0000
  15.000   1.5766   0.01901   0.01523   0.0103   0.0034   1.0000
