  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0922   0.01223   0.00759  -0.0028   1.0000   0.0072
  -9.750  -1.0672   0.01186   0.00718  -0.0025   1.0000   0.0074
  -9.500  -1.0431   0.01130   0.00656  -0.0019   1.0000   0.0080
  -9.250  -1.0179   0.01094   0.00618  -0.0015   1.0000   0.0084
  -9.000  -0.9924   0.01063   0.00587  -0.0012   1.0000   0.0088
  -8.750  -0.9668   0.01034   0.00557  -0.0008   1.0000   0.0092
  -8.500  -0.9411   0.01008   0.00530  -0.0005   1.0000   0.0095
  -8.250  -0.9155   0.00985   0.00506  -0.0001   1.0000   0.0098
  -8.000  -0.8902   0.00959   0.00477   0.0003   1.0000   0.0101
  -7.750  -0.8657   0.00925   0.00442   0.0010   1.0000   0.0113
  -7.500  -0.8409   0.00901   0.00418   0.0016   1.0000   0.0120
  -7.250  -0.8161   0.00879   0.00397   0.0022   1.0000   0.0126
  -7.000  -0.7914   0.00861   0.00378   0.0028   1.0000   0.0130
  -6.750  -0.7673   0.00836   0.00351   0.0036   1.0000   0.0142
  -6.500  -0.7435   0.00813   0.00330   0.0044   1.0000   0.0156
  -6.250  -0.7136   0.00793   0.00311   0.0039   0.9995   0.0167
  -6.000  -0.6814   0.00773   0.00291   0.0029   0.9985   0.0184
  -5.750  -0.6492   0.00750   0.00271   0.0018   0.9973   0.0210
  -5.500  -0.6165   0.00732   0.00254   0.0007   0.9961   0.0228
  -5.250  -0.5837   0.00710   0.00236  -0.0005   0.9950   0.0271
  -5.000  -0.5509   0.00691   0.00219  -0.0016   0.9938   0.0312
  -4.750  -0.5207   0.00673   0.00205  -0.0021   0.9901   0.0360
  -4.500  -0.4896   0.00652   0.00189  -0.0029   0.9861   0.0443
  -4.250  -0.4594   0.00634   0.00175  -0.0034   0.9810   0.0537
  -4.000  -0.4314   0.00615   0.00162  -0.0034   0.9727   0.0659
  -3.750  -0.4044   0.00598   0.00150  -0.0031   0.9625   0.0800
  -3.500  -0.3780   0.00581   0.00138  -0.0027   0.9501   0.0974
  -3.250  -0.3519   0.00562   0.00125  -0.0023   0.9357   0.1214
  -3.000  -0.3257   0.00545   0.00114  -0.0019   0.9184   0.1477
  -2.750  -0.2994   0.00530   0.00103  -0.0015   0.8982   0.1784
  -2.500  -0.2727   0.00515   0.00094  -0.0012   0.8769   0.2105
  -2.250  -0.2460   0.00501   0.00085  -0.0010   0.8528   0.2452
  -1.750  -0.1919   0.00478   0.00070  -0.0006   0.7993   0.3206
  -1.500  -0.1646   0.00471   0.00065  -0.0005   0.7693   0.3550
  -1.250  -0.1373   0.00464   0.00061  -0.0003   0.7389   0.3909
  -1.000  -0.1100   0.00458   0.00057  -0.0003   0.7070   0.4293
  -0.750  -0.0825   0.00453   0.00054  -0.0002   0.6745   0.4657
  -0.500  -0.0550   0.00450   0.00052  -0.0001   0.6413   0.5018
  -0.250  -0.0275   0.00448   0.00051  -0.0001   0.6077   0.5375
   0.000   0.0000   0.00447   0.00050  -0.0000   0.5731   0.5741
   0.250   0.0276   0.00449   0.00051   0.0000   0.5367   0.6073
   0.500   0.0552   0.00451   0.00052   0.0001   0.5021   0.6409
   0.750   0.0826   0.00453   0.00054   0.0002   0.4657   0.6744
   1.000   0.1101   0.00458   0.00057   0.0002   0.4289   0.7071
   1.250   0.1374   0.00464   0.00061   0.0003   0.3914   0.7389
   1.500   0.1648   0.00470   0.00065   0.0004   0.3559   0.7701
   1.750   0.1920   0.00479   0.00070   0.0006   0.3189   0.7997
   2.250   0.2461   0.00501   0.00085   0.0009   0.2456   0.8527
   2.500   0.2729   0.00514   0.00093   0.0012   0.2120   0.8772
   2.750   0.2995   0.00530   0.00103   0.0015   0.1784   0.8983
   3.000   0.3258   0.00545   0.00114   0.0018   0.1475   0.9184
   3.250   0.3521   0.00562   0.00125   0.0022   0.1214   0.9355
   3.500   0.3781   0.00582   0.00138   0.0027   0.0967   0.9502
   3.750   0.4045   0.00598   0.00150   0.0031   0.0801   0.9625
   4.000   0.4315   0.00615   0.00162   0.0034   0.0658   0.9726
   4.250   0.4596   0.00634   0.00175   0.0033   0.0535   0.9809
   4.500   0.4898   0.00652   0.00189   0.0028   0.0443   0.9861
   4.750   0.5208   0.00673   0.00205   0.0021   0.0361   0.9902
   5.000   0.5509   0.00692   0.00219   0.0016   0.0312   0.9938
   5.250   0.5837   0.00710   0.00236   0.0005   0.0271   0.9950
   5.500   0.6167   0.00732   0.00254  -0.0007   0.0228   0.9961
   5.750   0.6494   0.00750   0.00271  -0.0019   0.0211   0.9973
   6.000   0.6816   0.00773   0.00291  -0.0029   0.0183   0.9985
   6.250   0.7137   0.00794   0.00311  -0.0039   0.0167   0.9995
   6.500   0.7434   0.00813   0.00330  -0.0044   0.0156   1.0000
   6.750   0.7672   0.00836   0.00351  -0.0036   0.0142   1.0000
   7.000   0.7913   0.00861   0.00377  -0.0028   0.0130   1.0000
   7.250   0.8161   0.00879   0.00397  -0.0021   0.0126   1.0000
   7.500   0.8409   0.00900   0.00418  -0.0016   0.0120   1.0000
   7.750   0.8657   0.00925   0.00442  -0.0010   0.0113   1.0000
   8.000   0.8902   0.00959   0.00477  -0.0003   0.0102   1.0000
   8.250   0.9155   0.00985   0.00506   0.0001   0.0098   1.0000
   8.500   0.9412   0.01008   0.00530   0.0005   0.0095   1.0000
   8.750   0.9669   0.01035   0.00558   0.0008   0.0092   1.0000
   9.000   0.9925   0.01063   0.00587   0.0012   0.0088   1.0000
   9.250   1.0180   0.01094   0.00618   0.0015   0.0084   1.0000
   9.500   1.0432   0.01130   0.00656   0.0019   0.0080   1.0000
   9.750   1.0673   0.01186   0.00718   0.0024   0.0074   1.0000
  10.000   1.0923   0.01223   0.00760   0.0028   0.0072   1.0000
  10.250   1.1178   0.01253   0.00791   0.0031   0.0071   1.0000
  10.500   1.1429   0.01288   0.00829   0.0034   0.0070   1.0000
  10.750   1.1679   0.01324   0.00868   0.0038   0.0068   1.0000
  11.000   1.1925   0.01364   0.00911   0.0042   0.0066   1.0000
  11.250   1.2170   0.01405   0.00955   0.0045   0.0064   1.0000
  11.500   1.2412   0.01447   0.00999   0.0049   0.0062   1.0000
  11.750   1.2652   0.01491   0.01046   0.0054   0.0060   1.0000
  12.000   1.2885   0.01543   0.01101   0.0059   0.0058   1.0000
  12.250   1.3107   0.01609   0.01173   0.0065   0.0055   1.0000
  12.500   1.3309   0.01698   0.01273   0.0074   0.0053   1.0000
  12.750   1.3498   0.01798   0.01385   0.0084   0.0051   1.0000
  13.000   1.3720   0.01851   0.01442   0.0090   0.0051   1.0000
  13.250   1.3938   0.01906   0.01501   0.0096   0.0050   1.0000
  13.500   1.4151   0.01964   0.01564   0.0102   0.0050   1.0000
  13.750   1.4358   0.02025   0.01630   0.0109   0.0050   1.0000
  14.000   1.4557   0.02091   0.01702   0.0117   0.0049   1.0000
  14.250   1.4748   0.02161   0.01778   0.0126   0.0048   1.0000
  14.500   1.4930   0.02236   0.01859   0.0136   0.0047   1.0000
  14.750   1.5099   0.02317   0.01946   0.0146   0.0047   1.0000
  15.000   1.5257   0.02403   0.02038   0.0158   0.0046   1.0000
