  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0843   0.01360   0.00875  -0.0040   1.0000   0.0085
  -9.750  -1.0595   0.01321   0.00833  -0.0036   1.0000   0.0088
  -9.500  -1.0346   0.01283   0.00791  -0.0032   1.0000   0.0092
  -9.250  -1.0095   0.01247   0.00752  -0.0029   1.0000   0.0095
  -9.000  -0.9842   0.01214   0.00716  -0.0025   1.0000   0.0097
  -8.750  -0.9587   0.01185   0.00684  -0.0022   1.0000   0.0099
  -8.500  -0.9352   0.01122   0.00615  -0.0015   1.0000   0.0107
  -8.250  -0.9102   0.01087   0.00579  -0.0010   1.0000   0.0114
  -8.000  -0.8849   0.01059   0.00549  -0.0006   1.0000   0.0121
  -7.750  -0.8596   0.01033   0.00521  -0.0001   1.0000   0.0126
  -7.500  -0.8344   0.01009   0.00497   0.0004   1.0000   0.0130
  -7.250  -0.8104   0.00971   0.00455   0.0011   1.0000   0.0141
  -7.000  -0.7861   0.00941   0.00425   0.0018   1.0000   0.0153
  -6.750  -0.7615   0.00918   0.00402   0.0024   1.0000   0.0163
  -6.500  -0.7369   0.00899   0.00382   0.0031   1.0000   0.0170
  -6.250  -0.7131   0.00870   0.00352   0.0039   1.0000   0.0190
  -6.000  -0.6891   0.00848   0.00331   0.0047   1.0000   0.0209
  -5.750  -0.6651   0.00832   0.00314   0.0055   1.0000   0.0220
  -5.500  -0.6361   0.00804   0.00290   0.0052   0.9994   0.0258
  -5.250  -0.6029   0.00785   0.00271   0.0039   0.9982   0.0283
  -5.000  -0.5698   0.00759   0.00250   0.0027   0.9968   0.0347
  -4.750  -0.5362   0.00737   0.00232   0.0013   0.9955   0.0419
  -4.500  -0.5022   0.00715   0.00215  -0.0001   0.9943   0.0511
  -4.250  -0.4702   0.00691   0.00198  -0.0011   0.9919   0.0642
  -4.000  -0.4378   0.00667   0.00183  -0.0021   0.9889   0.0802
  -3.750  -0.4056   0.00642   0.00167  -0.0032   0.9853   0.1021
  -3.500  -0.3754   0.00616   0.00153  -0.0037   0.9797   0.1305
  -3.250  -0.3462   0.00591   0.00139  -0.0040   0.9720   0.1613
  -3.000  -0.3191   0.00566   0.00127  -0.0039   0.9617   0.1969
  -2.750  -0.2927   0.00543   0.00116  -0.0035   0.9494   0.2337
  -2.500  -0.2668   0.00522   0.00106  -0.0030   0.9341   0.2722
  -2.250  -0.2409   0.00504   0.00097  -0.0025   0.9165   0.3123
  -2.000  -0.2148   0.00488   0.00088  -0.0020   0.8967   0.3517
  -1.750  -0.1883   0.00475   0.00081  -0.0017   0.8745   0.3900
  -1.250  -0.1351   0.00454   0.00069  -0.0011   0.8225   0.4721
  -1.000  -0.1082   0.00447   0.00065  -0.0008   0.7931   0.5097
  -0.750  -0.0813   0.00442   0.00062  -0.0006   0.7617   0.5490
  -0.500  -0.0542   0.00437   0.00060  -0.0004   0.7295   0.5873
  -0.250  -0.0271   0.00435   0.00058  -0.0002   0.6948   0.6236
   0.000   0.0001   0.00434   0.00058  -0.0000   0.6601   0.6597
   0.250   0.0272   0.00435   0.00058   0.0002   0.6246   0.6949
   0.500   0.0543   0.00437   0.00060   0.0004   0.5865   0.7292
   0.750   0.0814   0.00441   0.00062   0.0006   0.5491   0.7620
   1.000   0.1083   0.00447   0.00065   0.0008   0.5102   0.7931
   1.250   0.1352   0.00454   0.00070   0.0010   0.4712   0.8227
   1.500   0.1619   0.00464   0.00075   0.0013   0.4313   0.8496
   1.750   0.1884   0.00474   0.00081   0.0017   0.3910   0.8745
   2.250   0.2410   0.00504   0.00097   0.0025   0.3126   0.9165
   2.500   0.2669   0.00523   0.00106   0.0030   0.2715   0.9344
   2.750   0.2928   0.00543   0.00116   0.0035   0.2341   0.9494
   3.000   0.3192   0.00566   0.00127   0.0038   0.1968   0.9617
   3.250   0.3463   0.00591   0.00140   0.0040   0.1605   0.9720
   3.500   0.3755   0.00616   0.00153   0.0037   0.1303   0.9796
   3.750   0.4057   0.00642   0.00167   0.0031   0.1027   0.9853
   4.000   0.4379   0.00667   0.00183   0.0021   0.0803   0.9889
   4.250   0.4702   0.00691   0.00198   0.0011   0.0639   0.9919
   4.500   0.5022   0.00715   0.00215   0.0001   0.0511   0.9943
   4.750   0.5362   0.00737   0.00232  -0.0013   0.0419   0.9955
   5.000   0.5699   0.00759   0.00250  -0.0027   0.0347   0.9969
   5.250   0.6030   0.00785   0.00271  -0.0039   0.0283   0.9983
   5.500   0.6363   0.00804   0.00290  -0.0052   0.0258   0.9995
   5.750   0.6649   0.00831   0.00314  -0.0054   0.0220   1.0000
   6.000   0.6890   0.00848   0.00331  -0.0047   0.0209   1.0000
   6.250   0.7130   0.00870   0.00352  -0.0039   0.0190   1.0000
   6.500   0.7368   0.00899   0.00381  -0.0031   0.0170   1.0000
   6.750   0.7614   0.00918   0.00402  -0.0024   0.0163   1.0000
   7.000   0.7860   0.00941   0.00425  -0.0018   0.0153   1.0000
   7.250   0.8104   0.00971   0.00455  -0.0011   0.0141   1.0000
   7.500   0.8344   0.01009   0.00497  -0.0004   0.0130   1.0000
   7.750   0.8596   0.01033   0.00522   0.0001   0.0126   1.0000
   8.000   0.8849   0.01059   0.00550   0.0006   0.0121   1.0000
   8.250   0.9102   0.01087   0.00579   0.0010   0.0114   1.0000
   8.500   0.9352   0.01123   0.00615   0.0015   0.0107   1.0000
   8.750   0.9588   0.01186   0.00685   0.0021   0.0099   1.0000
   9.000   0.9843   0.01214   0.00716   0.0025   0.0097   1.0000
   9.250   1.0096   0.01247   0.00752   0.0028   0.0095   1.0000
   9.500   1.0347   0.01283   0.00792   0.0032   0.0092   1.0000
   9.750   1.0596   0.01321   0.00833   0.0036   0.0088   1.0000
  10.000   1.0844   0.01361   0.00876   0.0040   0.0085   1.0000
  10.250   1.1088   0.01404   0.00921   0.0044   0.0082   1.0000
  10.500   1.1323   0.01461   0.00983   0.0049   0.0078   1.0000
  10.750   1.1511   0.01588   0.01126   0.0061   0.0073   1.0000
  11.000   1.1751   0.01632   0.01175   0.0065   0.0072   1.0000
  11.250   1.1986   0.01681   0.01229   0.0070   0.0071   1.0000
  11.500   1.2216   0.01736   0.01289   0.0076   0.0070   1.0000
  11.750   1.2442   0.01792   0.01351   0.0081   0.0069   1.0000
  12.000   1.2667   0.01848   0.01412   0.0087   0.0067   1.0000
  12.250   1.2887   0.01906   0.01477   0.0093   0.0065   1.0000
  12.500   1.3100   0.01971   0.01548   0.0100   0.0064   1.0000
  12.750   1.3306   0.02041   0.01624   0.0107   0.0062   1.0000
  13.000   1.3506   0.02113   0.01702   0.0115   0.0061   1.0000
  13.250   1.3699   0.02189   0.01784   0.0123   0.0060   1.0000
  13.500   1.3882   0.02271   0.01874   0.0132   0.0058   1.0000
  13.750   1.4046   0.02368   0.01978   0.0143   0.0057   1.0000
  14.000   1.4174   0.02493   0.02113   0.0157   0.0055   1.0000
  14.250   1.4230   0.02671   0.02308   0.0177   0.0053   1.0000
  14.500   1.4114   0.02930   0.02590   0.0216   0.0052   1.0000
  14.750   1.4008   0.03187   0.02866   0.0242   0.0051   1.0000
  15.000   1.4029   0.03372   0.03061   0.0252   0.0051   1.0000
