  
       XFOIL         Version 6.99
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5673   0.01002   0.00563  -0.1176   0.8205   0.0103
  -9.750  -0.5422   0.00958   0.00512  -0.1175   0.8106   0.0106
  -9.500  -0.5142   0.00943   0.00495  -0.1178   0.8026   0.0107
  -9.250  -0.4885   0.00915   0.00464  -0.1176   0.7948   0.0112
  -9.000  -0.4607   0.00905   0.00453  -0.1177   0.7876   0.0114
  -8.750  -0.4334   0.00880   0.00425  -0.1179   0.7814   0.0114
  -8.500  -0.4054   0.00870   0.00414  -0.1180   0.7744   0.0116
  -8.250  -0.3771   0.00854   0.00396  -0.1183   0.7691   0.0119
  -7.750  -0.3205   0.00821   0.00360  -0.1188   0.7585   0.0120
  -7.250  -0.2636   0.00795   0.00331  -0.1193   0.7479   0.0123
  -7.000  -0.2352   0.00774   0.00307  -0.1196   0.7429   0.0126
  -6.750  -0.2066   0.00757   0.00288  -0.1198   0.7373   0.0131
  -6.500  -0.1779   0.00745   0.00275  -0.1201   0.7307   0.0135
  -6.250  -0.1489   0.00735   0.00264  -0.1204   0.7246   0.0138
  -6.000  -0.1201   0.00723   0.00250  -0.1207   0.7183   0.0139
  -5.750  -0.0911   0.00713   0.00239  -0.1210   0.7121   0.0143
  -5.250  -0.0331   0.00692   0.00215  -0.1217   0.7004   0.0148
  -5.000  -0.0040   0.00680   0.00201  -0.1220   0.6965   0.0153
  -4.750   0.0250   0.00671   0.00192  -0.1223   0.6899   0.0159
  -4.500   0.0544   0.00662   0.00182  -0.1227   0.6863   0.0162
  -4.000   0.1131   0.00646   0.00165  -0.1234   0.6776   0.0173
  -3.750   0.1425   0.00637   0.00156  -0.1238   0.6732   0.0188
  -3.500   0.1718   0.00632   0.00150  -0.1241   0.6681   0.0194
  -3.250   0.2012   0.00622   0.00141  -0.1245   0.6620   0.0245
  -3.000   0.2308   0.00599   0.00129  -0.1250   0.6573   0.0596
  -2.750   0.2605   0.00580   0.00121  -0.1256   0.6531   0.0914
  -2.500   0.2901   0.00562   0.00113  -0.1261   0.6477   0.1322
  -2.250   0.3199   0.00546   0.00107  -0.1267   0.6408   0.1726
  -2.000   0.3496   0.00521   0.00099  -0.1273   0.6325   0.2415
  -1.750   0.3796   0.00495   0.00092  -0.1281   0.6239   0.3204
  -1.500   0.4099   0.00463   0.00084  -0.1290   0.6140   0.4195
  -1.250   0.4392   0.00452   0.00083  -0.1295   0.5999   0.4746
  -1.000   0.4678   0.00455   0.00085  -0.1297   0.5812   0.4999
  -0.750   0.4956   0.00468   0.00090  -0.1298   0.5552   0.5085
  -0.500   0.5226   0.00484   0.00097  -0.1297   0.5246   0.5220
  -0.250   0.5503   0.00499   0.00103  -0.1297   0.5006   0.5287
   0.000   0.5779   0.00514   0.00111  -0.1297   0.4759   0.5399
   0.250   0.6051   0.00531   0.00119  -0.1297   0.4509   0.5499
   0.500   0.6329   0.00544   0.00126  -0.1297   0.4316   0.5573
